,owner_midpoint,price,release_year,peak_ccu,user_score,positive,negative,review_count,positive_ratio,recommendations,avg_playtime_forever,median_playtime_forever,is_metacritic_positive
owner_midpoint,1.0,0.009395282705741028,,0.0007037477536622264,-0.000391765504214726,0.5221081541244434,0.4434736824293145,0.5291626495419479,0.017733807697652808,0.5373874198132121,0.016140259359589796,0.002878214297325612,
price,0.009395282705741028,1.0,,0.022367495314474732,0.006589150033106017,0.04142431419139421,0.04376971432060617,0.04276759391787536,0.02306323404668852,0.04650023447343078,0.0001324472184487228,-0.0002735997005064527,
release_year,,,,,,,,,,,,,
peak_ccu,0.0007037477536622264,0.022367495314474732,,1.0,0.01077957959216173,0.017501999917241332,0.022564166797707823,0.018441163199067915,-0.021159630637510172,0.01747147219984723,-6.4849421148263785e-06,-0.00024320367966957195,
user_score,-0.000391765504214726,0.006589150033106017,,0.01077957959216173,1.0,-0.0008313423665023223,-0.000628797076261938,-0.0008355157774427547,0.002714894242834306,-0.00046190494140925894,-6.609692803246592e-05,-6.142789213507517e-05,
positive,0.5221081541244434,0.04142431419139421,,0.017501999917241332,-0.0008313423665023223,1.0,0.6765918226824763,0.9977385409850098,0.03752610351791187,0.9591212800207116,0.011960556285693194,0.0025424045600594396,
negative,0.4434736824293145,0.04376971432060617,,0.022564166797707823,-0.000628797076261938,0.6765918226824763,1.0,0.7245557723072158,0.008770724793527513,0.6503938426602766,0.01298319285603618,0.002661069619991303,
review_count,0.5291626495419479,0.04276759391787536,,0.018441163199067915,-0.0008355157774427547,0.9977385409850098,0.7245557723072158,1.0,0.0359258482879994,0.9570855557915467,0.012379937071075016,0.002622540100449663,
positive_ratio,0.017733807697652808,0.02306323404668852,,-0.021159630637510172,0.002714894242834306,0.03752610351791187,0.008770724793527513,0.0359258482879994,1.0,0.035459992356658844,-0.0015841849606413009,-0.002638404673349606,
recommendations,0.5373874198132121,0.04650023447343078,,0.01747147219984723,-0.00046190494140925894,0.9591212800207116,0.6503938426602766,0.9570855557915467,0.035459992356658844,1.0,0.011558867866042046,0.0028074093440310422,
avg_playtime_forever,0.016140259359589796,0.0001324472184487228,,-6.4849421148263785e-06,-6.609692803246592e-05,0.011960556285693194,0.01298319285603618,0.012379937071075016,-0.0015841849606413009,0.011558867866042046,1.0,0.9954450456147529,
median_playtime_forever,0.002878214297325612,-0.0002735997005064527,,-0.00024320367966957195,-6.142789213507517e-05,0.0025424045600594396,0.002661069619991303,0.002622540100449663,-0.002638404673349606,0.0028074093440310422,0.9954450456147529,1.0,
is_metacritic_positive,,,,,,,,,,,,,
