genre,count
Indie,79810
Casual,38857
Action,35278
Adventure,34506
Simulation,17218
Strategy,16236
RPG,15309
Early Access,8512
Free To Play,8178
Sports,3237
Racing,2878
Massively Multiplayer,1487
Violent,312
Gore,204
Utilities,184
Design & Illustration,98
Education,80
Game Development,79
Animation & Modeling,78
Nudity,71
Sexual Content,69
Audio Production,42
Video Production,41
Software Training,38
Photo Editing,37
Web Publishing,22
Accounting,9
Movie,2
Documentary,1
Episodic,1
Short,1
Tutorial,1
360 Video,1
