price_band,review_band,game_count,median_owner_midpoint,mean_owner_midpoint,metacritic_success_rate
Free,High,19859,0.0,12.218137871997582,
Free,Low,8036,0.0,0.805251368840219,
Free,Medium,9215,0.0,7.157894736842105,
Free,,16103,0.0,12.428802086567721,
High,High,12408,0.0,74.77119600257898,
High,Low,3560,0.0,6.027808988764045,
High,Medium,5790,0.0,7.3822107081174435,
High,,3518,0.0,1.210062535531552,
Mid,High,1672,0.0,188.98086124401914,
Mid,Low,205,0.0,11.458536585365854,
Mid,Medium,445,0.0,39.85168539325843,
Mid,,1431,0.0,2.013277428371768,
